ID,Nombre,Email,Departamento,Salario
1,Juan Pérez,juan.perez@empresa.com,IT,50000
2,María García,maria.garcia@empresa.com,RRHH,45000
3,Carlos López,carlos.lopez@empresa.com,Marketing,48000
4,Ana Martínez,ana.martinez@empresa.com,IT,52000
5,Luis Rodríguez,luis.rodriguez@empresa.com,Ventas,47000
6,Sofia Torres,sofia.torres@empresa.com,RRHH,46000
7,Pedro Silva,pedro.silva@empresa.com,Marketing,49000
8,Carmen Ruiz,carmen.ruiz@empresa.com,IT,51000
9,Diego Morales,diego.morales@empresa.com,Ventas,47500
10,Laura Jiménez,laura.jimenez@empresa.com,RRHH,45500 
